AGYTYP,AGYTYPT,AGY,AGYT,AGYSUB,AGYSUBT
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF02,AF02-AIR FORCE INSPECTION AND SAFETY CENTER
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF03,AF03-AIR FORCE OPERATIONAL TEST AND EVALUATION CENTER
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF04,AF04-AIR FORCE COMMUNICATIONS AGENCY
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF06,AF06-AIR FORCE AUDIT AGENCY
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF07,AF07-AIR FORCE OFFICE OF SPECIAL INVESTIGATIONS
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF08,AF08-AIR FORCE OFFICE OF SECURITY POLICE
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF09,AF09-AIR FORCE MANPOWER AND PERSONNEL CENTER
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF0B,AF0B-U.S. AIR FORCE ACADEMY
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF0D,"AF0D-U.S. AIR FORCES, EUROPE"
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF0J,AF0J-AIR TRAINING COMMAND
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF0M,"AF0M-HEADQUARTERS, AIR FORCE RESERVE"
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF0N,"AF0N-IMMEDIATE OFFICE, HEADQUARTERS, USAF"
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF0R,AF0R-PACIFIC AIR FORCES
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF0U,AF0U-ELECTRONIC SECURITY COMMAND
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF10,AF10-AIR FORCE CENTER FOR QUALITY AND MANAGEMENT INNOVATION
