AGYSUB	LOC	AGELVL	EDLVL	GSEGRD	LOSLVL	OCC	PATCO	PPGRD	SALLVL	STEMOCC	SUPERVIS	TOA	WORKSCH	WORKSTAT	DATECODE	EMPLOYMENT	SALARY	LOS
AB00	IT	I	4	11	F	1630	2	GS-11	D	XXXX	2	20	F	2	199809	1	"$42,709 "	18.7
AB00	RP	G	4	8	D	1630	2	GS-08	C	XXXX	2	20	F	2	199809	1	"$31,045 "	5.8
AB00	BE	H	10	9	C	1630	2	GS-09	C	XXXX	8	20	F	2	199809	1	"$31,266 "	4.9
AB00	FR	E	17	13	E	810	1	GS-13	E	810	2	20	F	2	199809	1	"$57,393 "	12.8
AB00	NL	J	4	12	E	1630	2	GS-12	Z	XXXX	2	10	F	1	199809	1		11.7
AB00	FR	K	8	11	F	1630	2	GS-11	D	XXXX	2	20	F	2	199809	1	"$43,929 "	19.6
AB00	FR	I	17	15	C	301	2	GS-15	H	XXXX	2	15	F	1	199809	1	"$84,615 "	4.6
AB00	LU	J	9	8	F	1630	2	GS-08	C	XXXX	2	20	F	2	199809	1	"$30,132 "	19.8
AB00	51	J	17		C	340	2	AD-00	L	XXXX	2	46	F	2	199809	1	"$127,008 "	4.8
AB00	FR	H	4	13	I	1630	2	GS-13	F	XXXX	2	10	F	1	199809	1	"$62,610 "	31.4
AB00	51	H	6	14	H	501	2	GS-14	Z	XXXX	2	10	F	1	199809	1		26.8
AB00	FR	K	13	9	H	1630	2	GS-09	Z	XXXX	2	10	F	1	199809	1		25.9
AB00	IT	J	4	12	H	1630	2	GS-12	E	XXXX	2	10	F	1	199809	1	"$51,191 "	26.3
AB00	UK	I	8	11	H	1630	2	GS-11	D	XXXX	2	10	F	1	199809	1	"$43,929 "	25.3
AB00	51	I	4	11	J	301	2	GS-11	D	XXXX	8	10	F	1	199809	1	"$49,740 "	37.8
AB00	IT	H	4	9	E	1630	2	GS-09	C	XXXX	2	20	F	2	199809	1	"$34,293 "	10.5
AB00	TS	I	8	11	E	1630	2	GS-11	C	XXXX	2	20	F	2	199809	1	"$37,829 "	11.8
AB00	FR	H	13	11	E	341	2	GS-11	D	XXXX	2	10	F	1	199809	1	"$42,709 "	14.1
AB00	NL	G	4	8	B	1630	2	GS-08	B	XXXX	8	20	F	2	199809	1	"$27,393 "	1.8
AB00	51	C	4	5	D	322	4	GS-05	Z	XXXX	8	15	F	1	199809	1		7.5
AB00	UK	K	16	9	G	1630	2	GS-09	C	XXXX	2	10	F	1	199809	1	"$38,329 "	24.1
